Price,Close,Returns,Volatility_30d
Ticker,NG=F,,
Date,,,
2018-01-02,3.055999994277954,,
2018-01-03,3.007999897003174,-0.01583149758525017,
2018-01-04,2.880000114440918,-0.04348503796234301,
2018-01-05,2.7950000762939453,-0.02995819998064001,
2018-01-08,2.8350000381469727,0.014209816731794056,
2018-01-09,2.9230000972747803,0.030568568772760717,
2018-01-10,2.9059998989105225,-0.005832989046576413,
2018-01-11,3.0840001106262207,0.05944996121047875,
2018-01-12,3.200000047683716,0.03692333313474111,
2018-01-16,3.128999948501587,-0.022437376478522394,
2018-01-17,3.2320001125335693,0.03238772724908364,
2018-01-18,3.188999891281128,-0.013393821541321451,
2018-01-19,3.184999942779541,-0.001255082877562453,
2018-01-22,3.2239999771118164,0.012170546486550034,
2018-01-23,3.444000005722046,0.0660107706818686,
2018-01-24,3.509000062942505,0.018697526311588004,
2018-01-25,3.447000026702881,-0.017826819257095873,
2018-01-26,3.505000114440918,0.016686257855884002,
2018-01-29,3.63100004196167,0.035317550851389774,
2018-01-30,3.194999933242798,-0.12792103705347882,
2018-01-31,2.994999885559082,-0.0646428735784701,
2018-02-01,2.8559999465942383,-0.04752216757891354,
2018-02-02,2.8459999561309814,-0.003507541524453028,
2018-02-05,2.746999979019165,-0.035405084777978144,
2018-02-06,2.759000062942505,0.004358918573259813,
2018-02-07,2.7019999027252197,-0.02087611451169247,
2018-02-08,2.697000026702881,-0.0018521494784277089,
2018-02-09,2.5840001106262207,-0.0428014253261904,
2018-02-12,2.552000045776367,-0.01246124531236817,
2018-02-13,2.5940001010894775,0.01632374144476025,
2018-02-14,2.5869998931884766,-0.0027022629486544896,0.03868520573345713
2018-02-15,2.5799999237060547,-0.0027094925538681167,0.038639145482235224
2018-02-16,2.558000087738037,-0.008563631906111478,0.03796349891986025
2018-02-20,2.615999937057495,0.022420672078243945,0.03793067640383991
2018-02-21,2.6589999198913574,0.016303672599163755,0.037963836585249926
2018-02-22,2.634000062942505,-0.009446454916268825,0.03747494916243814
2018-02-23,2.625,-0.003422731173669366,0.037472292571747556
2018-02-26,2.6389999389648438,0.00531913834946176,0.035598497442997694
2018-02-27,2.683000087738037,0.016535569751905302,0.03495552668952586
2018-02-28,2.6670000553131104,-0.005981338205253129,0.034815479449346105
2018-03-01,2.697999954223633,0.011556474879084991,0.03424036114681334
2018-03-02,2.694999933242798,-0.0011125612285872086,0.03422256860048982
2018-03-05,2.7039999961853027,0.0033339771797580506,0.03425294958145357
2018-03-06,2.749000072479248,0.016505078778829115,0.03433890487649123
2018-03-07,2.7769999504089355,0.010133954918092882,0.031755054940317655
